pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	128.137	54.8953	73.22	51.4713	75.4524	0.688395	0.171316
20 <pt<25 	3<chiso range<9 	128.137	54.8953	73.22	50.4326	76.7002	0.91389	0.267636
20 <pt<25 	3<chiso range<10 	128.137	54.8953	73.22	47.6775	79.93	1.55649	0.519265
20 <pt<25 	3<chiso range<11 	128.137	54.8953	73.22	48.691	78.9673	1.30945	0.442808
20 <pt<25 	3<chiso range<12 	128.137	54.8953	73.22	47.9343	79.7139	1.49241	0.501816
20 <pt<25 	3<chiso range<13 	128.137	54.8953	73.22	46.565	80.9313	1.84091	0.599784
20 <pt<25 	4<chiso range<9 	128.137	54.8953	73.22	52.9343	74.1893	0.382663	0.0738194
20 <pt<25 	4<chiso range<10 	128.137	54.8953	73.22	49.1466	78.5697	1.20144	0.41125
20 <pt<25 	4<chiso range<11 	128.137	54.8953	73.22	50.2581	77.5139	0.947206	0.328473
20 <pt<25 	4<chiso range<12 	128.137	54.8953	73.22	49.2321	78.5199	1.18102	0.407102
20 <pt<25 	4<chiso range<13 	128.137	54.8953	73.22	47.5173	80.0467	1.59676	0.528702
20 <pt<25 	5<chiso range<10 	128.137	54.8953	73.22	50.8338	77.7417	0.814257	0.342701
20 <pt<25 	5<chiso range<11 	128.137	54.8953	73.22	52.0493	76.5091	0.557313	0.248094
20 <pt<25 	5<chiso range<12 	128.137	54.8953	73.22	50.6307	77.8242	0.859246	0.349544
20 <pt<25 	5<chiso range<13 	128.137	54.8953	73.22	48.4535	79.6939	1.35991	0.496991
20 <pt<25 	6<chiso range<11 	128.137	54.8953	73.22	47.3608	82.7345	1.5982	0.721238
20 <pt<25 	6<chiso range<12 	128.137	54.8953	73.22	46.2226	83.549	1.89044	0.78857
20 <pt<25 	6<chiso range<13 	128.137	54.8953	73.22	44.1725	85.0522	2.45788	0.914616
20 <pt<25 	7<chiso range<12 	128.137	54.8953	73.22	44.9216	84.5444	2.24288	0.87098
20 <pt<25 	7<chiso range<13 	128.137	54.8953	73.22	42.4878	86.3552	2.96668	1.0249
20 <pt<25 	8<chiso range<13 	128.137	54.8953	73.22	38.6921	89.7911	4.26738	1.3148
#######################################################################################
25 <pt<30 	3<chiso range<8 	71.4077	26.1328	45.2634	25.5542	45.0842	0.156218	0.0187432
25 <pt<30 	3<chiso range<9 	71.4077	26.1328	45.2634	25.3751	45.378	0.205533	0.011977
25 <pt<30 	3<chiso range<10 	71.4077	26.1328	45.2634	24.7622	45.9538	0.381208	0.0725251
25 <pt<30 	3<chiso range<11 	71.4077	26.1328	45.2634	23.8076	46.9019	0.672558	0.173325
25 <pt<30 	3<chiso range<12 	71.4077	26.1328	45.2634	23.7187	46.9071	0.702049	0.174246
25 <pt<30 	3<chiso range<13 	71.4077	26.1328	45.2634	23.9604	46.6964	0.625034	0.151563
25 <pt<30 	4<chiso range<9 	71.4077	26.1328	45.2634	24.6164	46.17	0.423644	0.0952158
25 <pt<30 	4<chiso range<10 	71.4077	26.1328	45.2634	23.9902	46.7492	0.614633	0.156867
25 <pt<30 	4<chiso range<11 	71.4077	26.1328	45.2634	22.9869	47.7417	0.941807	0.263576
25 <pt<30 	4<chiso range<12 	71.4077	26.1328	45.2634	22.9574	47.6751	0.95376	0.257003
